Date,Stock_Symbol,Open,High,Low,Close,Volume
2020-01-01,AAPL,375.99,386.74,375.17,385.14,2315838
2020-01-02,AAPL,380.76,380.97,373.61,374.87,9167530
2020-01-03,AAPL,377.48,380.11,371.5,377.5,8416835
2020-01-06,AAPL,377.6,386.95,373.1,375.56,8625704
2020-01-07,AAPL,369.56,374.09,364.53,364.74,2612715
2020-01-08,AAPL,361.11,370.11,359.61,363.43,8793913
2020-01-09,AAPL,366.82,367.54,357.33,359.93,6705882
2020-01-10,AAPL,354.27,363.34,350.77,355.36,1834664
2020-01-13,AAPL,352.24,362.66,348.05,357.22,7299251
2020-01-14,AAPL,358.5,363.04,353.0,358.78,4918947
2020-01-15,AAPL,352.51,358.48,351.44,352.57,6065889
2020-01-16,AAPL,353.13,359.42,347.46,354.51,7859425
2020-01-17,AAPL,353.62,356.28,348.27,349.31,9735868
2020-01-20,AAPL,342.45,347.12,336.36,340.34,6638287
2020-01-21,AAPL,336.75,340.35,333.31,333.99,9172462
2020-01-22,AAPL,328.8,337.18,318.95,327.85,7400788
2020-01-23,AAPL,330.62,334.71,323.41,333.3,2762225
2020-01-24,AAPL,332.79,341.66,328.91,338.32,4912895
2020-01-27,AAPL,343.7,353.35,343.35,350.41,7087320
2020-01-28,AAPL,355.76,363.48,351.52,352.55,2695419
2020-01-29,AAPL,348.52,350.75,341.83,344.16,6325963
2020-01-30,AAPL,340.0,340.49,331.14,331.27,4666338
2020-01-31,AAPL,326.34,326.83,324.78,325.79,1363079
2020-02-03,AAPL,321.64,324.09,314.79,323.15,9559438
2020-02-04,AAPL,318.83,323.73,311.19,322.73,9038821
2020-02-05,AAPL,324.45,328.25,319.67,323.09,5274308
2020-02-06,AAPL,326.18,330.94,325.71,327.34,8693403
2020-02-07,AAPL,329.42,337.64,320.9,330.36,2883244
2020-02-10,AAPL,336.67,342.88,328.18,329.9,3742138
2020-02-11,AAPL,324.71,334.36,317.02,325.07,4701502
2020-02-12,AAPL,319.46,320.09,317.36,317.74,9534577
2020-02-13,AAPL,318.93,319.99,316.49,317.4,2205467
2020-02-14,AAPL,319.64,322.69,315.65,319.96,4375534
2020-02-17,AAPL,321.83,323.75,314.43,322.06,1872843
2020-02-18,AAPL,323.62,330.13,320.27,326.72,3189450
2020-02-19,AAPL,321.74,323.28,319.38,322.93,3768586
2020-02-20,AAPL,327.58,330.96,324.49,325.09,6508547
2020-02-21,AAPL,328.53,331.17,319.98,327.57,5032079
2020-02-24,AAPL,329.83,338.19,329.15,331.7,2741394
2020-02-25,AAPL,336.53,343.66,330.88,338.35,4437349
2020-02-26,AAPL,334.11,337.3,330.03,331.44,2409215
2020-02-27,AAPL,336.83,340.7,333.39,335.81,4529992
2020-02-28,AAPL,337.97,338.34,333.14,338.25,5486104
2020-03-02,AAPL,335.92,343.49,331.66,337.51,4297659
2020-03-03,AAPL,333.11,334.23,326.09,326.3,1538209
2020-03-04,AAPL,322.54,325.76,321.74,323.88,4473558
